epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3086,0.94283,5.09626,1.14308,0,0,0,0,0.43552,5.04944,0.85266,1.925e-05,1.925e-05,1.925e-05
2,133.812,0.72884,4.98596,1.00032,0,0,0,0,0.36923,4.94968,0.79682,3.9453e-05,3.9453e-05,3.9453e-05
3,198.833,0.61808,4.79451,0.88771,0,0,0,0,0.36101,4.88869,0.78234,5.88245e-05,5.88245e-05,5.88245e-05
4,268.792,0.57302,4.57678,0.84919,0,0,0,0,0.37966,4.75368,0.78048,7.73643e-05,7.73643e-05,7.73643e-05
5,333.762,0.54892,4.42565,0.85136,0.00467,0.01804,0.00475,0.00461,0.40593,4.5701,0.7742,9.50726e-05,9.50726e-05,9.50726e-05
6,396.734,0.51305,4.23277,0.84653,0.02124,0.13352,0.02334,0.02112,0.39462,4.37855,0.77377,0.000111949,0.000111949,0.000111949
7,459.995,0.49346,4.09781,0.84231,0.01727,0.28375,0.02813,0.02686,0.37144,4.1421,0.77585,0.000127994,0.000127994,0.000127994
8,524.223,0.48851,4.02412,0.84113,0.01752,0.35151,0.02794,0.02703,0.35905,3.9697,0.78039,0.000143208,0.000143208,0.000143208
9,586.206,0.49831,3.9365,0.85969,0.01894,0.37985,0.03207,0.03123,0.35623,3.80897,0.78381,0.00014728,0.00014728,0.00014728
10,655.684,0.49912,3.91094,0.83813,0.01863,0.36824,0.03307,0.03217,0.34945,3.70669,0.78643,0.000143815,0.000143815,0.000143815
11,721.893,0.50501,3.78104,0.84654,0.01932,0.37865,0.03671,0.0357,0.33705,3.55854,0.78738,0.00014035,0.00014035,0.00014035
12,790.521,0.44092,3.74851,0.82834,0.01971,0.38514,0.04003,0.03887,0.33833,3.48432,0.79081,0.000136885,0.000136885,0.000136885
